262157,1,500,0.9982
262163,1,500,0.9981
262165,1,500,0.9981
262167,1,500,0.9978
262168,1,500,0.9948
262169,1,500,0.9990
262173,1,500,0.9981
262174,1,500,0.9978
262204,1,500,0.9204
262205,1,500,0.9186
262235,1,500,0.9005
262248,1,500,0.7080
262249,1,500,0.9003
262250,1,500,0.8989
262252,1,500,0.8981
262253,1,500,0.8993
262254,1,500,0.8988
262254,501,1000,0.9025
262254,1001,1500,0.9160
262270,1,500,0.8975
262271,1,500,0.8963
262272,1,500,0.8962
262273,1,500,0.8989
262274,1,500,0.8962
262274,501,1000,0.8968
262274,1001,1500,0.9478
262275,1,500,0.9079
262277,1,500,0.9012
262325,1,500,0.8962
262326,1,500,0.8993
262327,1,500,0.8967
262328,1,500,0.8994
