251027,0.9884
251028,0.9886
251131,0.9885
251134,0.9881
251143,0.9885
251147,0.9886
251149,0.9884
251150,0.9887
251153,0.9908
251155,0.9908
251244,0.9929
251250,0.9884
251251,0.9883
251252,0.9881
251496,0.9843
251497,0.9843
251498,0.9841
251499,0.9842
251500,0.9840
251521,0.9950
251522,0.9971
251548,0.9843
251550,0.9943
251559,1.0000
251560,0.9985
251561,0.9844
251562,0.9843
251569,0.9960
251638,0.9784
251642,0.9831
251643,0.9783
251656,0.9930
251721,0.9774
251883,0.9844
251885,0.9961
252116,0.9807
252126,0.9807
